sku,item_name,description,price,brand,color,status,stock_quantity,pre_order_arrival_date,special_note
1,Freestanding bath mixer,,11947.24,Grohe,Green,In-stock,9,,
2,Shower mixer,,5861.99,Grohe,Mauv,In-stock,16,,
3,Toilet bowl,,5062.59,Grohe,Violet,In-stock,24,,
4,Basin mixer,,3987.29,Grohe,Crimson,Pre-order,0,2021-12-05,
5,Basin mixer,,6436.7,Grohe,Turquoise,In-stock,3,,
6,Freestanding bath mixer,,12356.01,Hansgrohe,Orange,In-stock,42,,
7,Shower mixer,,8579.78,Hansgrohe,Puce,In-stock,9,,
8,Toilet bowl,,3123.21,Hansgrohe,Yellow,Pre-order,0,2021-11-29,
9,Freestanding bath mixer,,13775.7,Hansgrohe,Fuscia,In-stock,43,,
10,Toilet bowl,,13701.92,Duravit,Orange,In-stock,39,,
11,Toilet bowl,,1349.43,Duravit,Yellow,Pre-order,0,2022-01-17,
12,Toilet bowl,,13239.28,Duravit,Crimson,In-stock,47,,
13,Basin,,3863.79,Duravit,Indigo,Pre-order,0,2022-01-10,
14,Basin,,5083.57,Duravit,Purple,In-stock,16,,
15,Basin,,7535.26,Duravit,Violet,In-stock,35,,
16,Bathtub,,8638.98,Toto,Mauv,In-stock,42,,
17,Bathtub,,2976.12,Toto,Pink,In-stock,21,,
18,Bathtub,,7034.46,Toto,Orange,In-stock,26,,
19,Bathtub,,6051.23,Toto,Khaki,In-stock,8,,
20,Bathtub,,534.67,Toto,Blue,In-stock,13,,
21,Toilet bowl,,13442.01,Toto,Goldenrod,In-stock,12,,
22,Toilet bowl,,14036.66,Toto,Aquamarine,In-stock,0,2022-01-06,
23,Shower mixer,,12507.57,Gessi,Purple,In-stock,41,,
24,Shower mixer,,7429.48,Gessi,Teal,In-stock,41,,
25,Shower mixer,,7319.71,Gessi,Goldenrod,Pre-order,0,2021-12-02,
26,Sink,,8551.13,Blanco,Khaki,Pre-order,0,2022-01-04,
27,Sink,,1843.55,Blanco,Purple,Pre-order,0,2022-01-05,
28,Sink,,9974.22,Blanco,Maroon,In-stock,19,,
29,Sink mixer,,2589.63,Blanco,Mauv,In-stock,15,,
30,Sink mixer,,526.91,Blanco,Green,In-stock,4,,
