sofifa_id,long_name,league_name,nationality_name,goals
243680,Omran Haydary,Polish T-Mobile Ekstraklasa,Afghanistan,
212151,Thomas Strakosha,Italian Serie A,Albania,
208165,Berat Djimsiti,Italian Serie A,Albania,
210864,Elseid Hysaj,Italian Serie A,Albania,
237184,Keidi Bare,Spain Primera Division,Albania,
189296,Etrit Berisha,Italian Serie A,Albania,
245426,Marash Kumbulla,Italian Serie A,Albania,
261204,Myrto Uzuni,Hungarian Nemzeti Bajnokság I,Albania,
203581,Iván Balliu Campeny,Spain Primera Division,Albania,
258782,Ardian Ismajli,Italian Serie A,Albania,
199504,Taulant Xhaka,Swiss Super League,Albania,
230800,Rey Manaj,Italian Serie A,Albania,
182713,Mërgim Mavraj,German 3. Bundesliga,Albania,
199282,Amir Abrashi,Swiss Super League,Albania,
256268,Armando Broja,English Premier League,Albania,
199283,Ermir Lenjani,Swiss Super League,Albania,
203780,Frédéric Veseli,Italian Serie A,Albania,
210521,Sokol Çikalleshi,Turkish Süper Lig,Albania,
216479,Armando Sadiku,Spanish Segunda División,Albania,
230143,Kastriot Dermaku,Italian Serie B,Albania,
234983,Qazim Laçi,French Ligue 2,Albania,
243788,Arbnor Muçolli,Danish Superliga,Albania,
229728,Florian Kamberi,English League One,Albania,
238692,Klaus Gjasula,German 2. Bundesliga,Albania,
235194,Giacomo Vrioni,Austrian Football Bundesliga,Albania,
258147,Mario Mitaj,Greek Super League,Albania,
263056,Emir Sahiti,Croatian Prva HNL,Albania,
251446,Enea Mihaj,Greek Super League,Albania,
255448,Realdo Fili,Romanian Liga I,Albania,
177515,Valdet Skënder Rama,German 3. Bundesliga,Albania,
248010,Enriko Papa,Romanian Liga I,Albania,
261195,Ernest Muçi,Polish T-Mobile Ekstraklasa,Albania,
264414,Jurgen Çelhaka,Polish T-Mobile Ekstraklasa,Albania,
225336,Egzon Binaku,Swedish Allsvenskan,Albania,
247722,Armando Dobra,English League Two,Albania,
250816,Anis Mehmeti,English League One,Albania,
257820,Simon Rrumbullaku,Romanian Liga I,Albania,
262730,Idriz Batha,Romanian Liga I,Albania,
187338,Agon Xhevat Mehmeti,Swedish Allsvenskan,Albania,
259204,Endri Çekiçi,Turkish Süper Lig,Albania,
243789,Agon Muçolli,Norwegian Eliteserien,Albania,
258098,Amir Bilali,Romanian Liga I,Albania,
264467,Marvin Cuni,German 2. Bundesliga,Albania,
241577,Laorent Shabani,Swedish Allsvenskan,Albania,
246647,Lundrim Hetemi,Danish Superliga,Albania,
260645,Albion Ademi,Swedish Allsvenskan,Albania,
260829,Alessio Abibi,Rep. Ireland Airtricity League,Albania,
204485,Riyad Mahrez,English Premier League,Algeria,
193983,Andy Delort,French Ligue 1,Algeria,
201143,Aïssa Mandi,Spain Primera Division,Algeria,
226754,Ismaël Bennacer,Italian Serie A,Algeria,
224196,Ramy Bensebaini,German 1. Bundesliga,Algeria,
176772,Alexandre Oukidja,French Ligue 1,Algeria,
210372,Rachid Ghezzal,Turkish Süper Lig,Algeria,
201454,Faouzi Ghoulam,Italian Serie A,Algeria,
220621,Mohamed Saïd Benrahma,English Premier League,Algeria,
222515,Zinedine Ferhat,French Ligue 2,Algeria,
210438,Farid Boulaya,French Ligue 1,Algeria,
217699,Islam Slimani,French Ligue 1,Algeria,
240754,Youcef Atal,French Ligue 1,Algeria,
184881,Sofiane Feghouli,Turkish Süper Lig,Algeria,
224444,Haris Belkebla,French Ligue 1,Algeria,
253157,Hicham Boudaoui,French Ligue 1,Algeria,
188388,Ryad Boudebouz,French Ligue 1,Algeria,
194728,Ishak Belfodil,German 1. Bundesliga,Algeria,
231242,Adam Ounas,Italian Serie A,Algeria,
263893,Amir Sâyoud,Saudi Abdul L. Jameel League,Algeria,
226356,Mohamed Salim Fares,Italian Serie A,Algeria,
171146,Raïs M'Bolhi Ouhab,Saudi Abdul L. Jameel League,Algeria,
205295,Hillel El Arbi Soudani,Saudi Abdul L. Jameel League,Algeria,
206436,Yassine Benzia,French Ligue 2,Algeria,
251511,Moustapha Zeghba,Saudi Abdul L. Jameel League,Algeria,
255487,Sofiane Bendebka,Saudi Abdul L. Jameel League,Algeria,
211240,Julien Yves Rémi López Baila,French Ligue 2,Algeria,
243806,Oussama Darfalou,Holland Eredivisie,Algeria,
254659,Mehdi Zerkane,French Ligue 1,Algeria,
254895,Farouk Chafaï,Saudi Abdul L. Jameel League,Algeria,
262925,Adem Zorgane,Belgian Jupiler Pro League,Algeria,
213841,Victor Lekhal,French Ligue 2,Algeria,
236535,Ahmed Touba,Holland Eredivisie,Algeria,
244017,Malik Asselah,Saudi Abdul L. Jameel League,Algeria,
245283,Farid El Melali,French Ligue 1,Algeria,
251155,Mohamed Réda Halaïmia,Belgian Jupiler Pro League,Algeria,
252383,Ramiz Larbi Zerrouki,Holland Eredivisie,Algeria,
258598,Mohamed Naoufel Khacef,Portuguese Liga ZON SAGRES,Algeria,
263562,Houssam Eddine Ghacha,Turkish Süper Lig,Algeria,
264201,Abdelkahar Kadri,Belgian Jupiler Pro League,Algeria,
205300,Rachid Ahmed Bouhenna,Romanian Liga I,Algeria,
223594,Maxime Spano Rahou,French Ligue 2,Algeria,
197480,Idriss Saadi,French Ligue 2,Algeria,
259088,Abdel Jalil Zaim Idriss Medioub,French Ligue 1,Algeria,
204773,Mehdi Jeannin,French Ligue 2,Algeria,
259154,Karim Aribi,French Ligue 2,Algeria,
243896,Ayoub Abdellaoui,Saudi Abdul L. Jameel League,Algeria,
262352,Sami Belkorchia,French Ligue 2,Algeria,
257235,Teddy Boulhendi,French Ligue 1,Algeria,
263426,Samy Faraj,French Ligue 2,Algeria,
263611,Farès Mehenni,French Ligue 2,Algeria,
192937,Marc Vales González,Norwegian Eliteserien,Andorra,
208364,Clinton Mukoni Mata Pedro Lourenço,Belgian Jupiler Pro League,Angola,
227527,Fábio Gonçalves Abreu,Saudi Abdul L. Jameel League,Angola,
199737,Wilson Bruno Naval da Costa Eduardo,Turkish Süper Lig,Angola,
189576,Jonás Ramalho Chimeno,Spain Primera Division,Angola,
193461,Alfredo Kulembe Ribeiro,Turkish Süper Lig,Angola,
212035,Jérémie Bela,English League Championship,Angola,
233812,Anderson-Lenda Lucoqui,German 1. Bundesliga,Angola,
221994,Núrio Domingos Matias Fortuna,Belgian Jupiler Pro League,Angola,
225402,Bruno Miguel Boialvo Gaspar,USA Major League Soccer,Angola,
239267,Afimico Pululu,Swiss Super League,Angola,
209816,Jonathan Buatu Mananga,Belgian Jupiler Pro League,Angola,
256883,Felício Mendes João Milson,Portuguese Liga ZON SAGRES,Angola,
246979,Elliot Jorge Simões Inácio,French Ligue 2,Angola,
258722,Osvaldo Pedro Capemba,French Ligue 1,Angola,
261120,Samuel Pungi,Korean K League 1,Angola,
263333,Plamedi Buni Jorge,French Ligue 2,Angola,
263859,Pedro Paulo Kasanzi Lubamba,Belgian Jupiler Pro League,Angola,
211966,Mahlon Beresford Baker Romeo,English League One,Antigua and Barbuda,
235773,Luther Ash James-Wildin,English League Two,Antigua and Barbuda,
210966,Zaine Sebastian Francis-Angol,English League Two,Antigua and Barbuda,
158023,Lionel Andrés Messi Cuccittini,French Ligue 1,Argentina,7
153079,Sergio Leonel Agüero del Castillo,Spain Primera Division,Argentina,
183898,Ángel Fabián Di María Hernández,French Ligue 1,Argentina,
211110,Paulo Bruno Exequiel Dybala,Italian Serie A,Argentina,
