bigmac,bread,busfare,engsal,engtax,service,teachsal,teachtax,vacdays,workhrs,city
31,9,1.27,44.3,44.1,280,21.8,28.2,31.9,1714,Amsterdam
33,9,0.27,19.4,23.7,170,9.4,14.8,23.5,1792,Athens
98,23,0.09,15.4,20.3,100,2.2,4.3,17.4,2152,Bogota
131,27,0.09,4.7,37.6,70,1.1,11.7,30.6,2052,Bombay
31,12,1.11,49.8,50.7,250,22.7,38.2,24.6,1708,Brussels
105,26,0.24,15,18.5,210,2.3,17,16.2,1971,Buenos Aires
103,75,0.2,5.3,6.1,250,2.5,6.5,21.1,2041,Caracas
18,18,1.13,56.5,33.1,260,33.3,27.5,11.8,1924,Chicago
39,4,2.46,54.3,44.8,330,29.1,39.5,25,1717,Copenhagen
29,12,1.18,43.4,39.5,260,23.3,22.9,22.9,1759,Dublin
22,12,1.49,64.6,32.8,280,32.7,18.9,29.6,1693,Dusseldorf
22,13,1.37,51.5,41.8,290,35.7,27.7,30.1,1650,Frankfort
21,10,1.21,64.3,28.1,350,58,25.4,22.7,1880,Geneva
40,27,1.8,42.6,38.5,410,31.6,33.5,28.6,1667,Helsinki
24,14,0.77,18.3,8.7,230,21.1,11.7,10.9,2375,Hong Kong
27,10,0.85,29.5,23.1,260,18.8,21.5,9,1978,Houston
35,7,1,24.2,32,160,12.4,23,19.4,1945,Johannesburg
57,40,0.23,12.1,17.9,110,4.3,7.9,17.6,2167,Kuala Lumpur
130,216,0.7,1.9,13.3,100,0.7,4.7,22.8,1786,Lagos
36,11,1.85,24.4,20.8,310,26.9,21.7,24.5,1737,London
20,15,1.1,60,40.6,300,37,20.3,10,2068,Los Angeles
20,9,0.84,68.3,28.1,220,44.9,19.6,29.5,1768,Luxembourg
54,10,1.06,36.9,28,330,23.6,24,32,1710,Madrid
165,86,0.3,3.5,15.5,90,2,13.5,16.9,2268,Manila
235,37,0.09,3.8,8.4,160,2.1,4.7,10.1,1944,Mexico City
33,17,0.77,39.9,29.7,300,19.7,25.1,24.6,1773,Milan
21,10,1.25,33.6,33.9,250,31.1,32.2,17.2,1827,Montreal
82,31,0.2,4.3,8.9,120,1.6,7.9,28.5,1958,Nairobi
26,22,1.15,48,27,270,32.5,23.4,12.2,1942,New York
40,8,0.51,20.3,23.6,140,15,19.3,20.3,1825,Nicosia
43,12,1.88,26.9,37,350,21,35,31.4,1583,Oslo
66,50,0.2,12.1,22.3,220,5,15.3,28.6,2078,Panama
39,18,0.82,38.8,27.2,290,21,22.3,27,1744,Paris
79,30,0.24,9.5,19.5,220,2,5.9,26.5,1749,Rio de Janeiro
106,32,0.37,9.2,22.7,220,4.5,20.7,30.7,1856,Sao Paulo
30,18,0.59,18.8,7.9,150,15.4,7.9,23.8,1842,Seoul
70,39,0.52,23.4,29,150,9.7,25.7,18.9,2042,Singapore
61,40,2.66,26.3,55,440,28.1,55,27.8,1805,Stockholm
18,12,2.06,27.2,27.1,220,23.1,24.5,22.4,1668,Sydney
34,16,0.33,24.2,11.6,330,13,9.8,17.7,2145,Taipei
33,9,0.73,17.6,13.1,230,9.1,10.1,18.7,2015,Tel Aviv
21,14,1.32,34.9,16.9,410,32,17.4,24,1880,Tokyo
20,10,0.99,45.5,31.6,260,35,30.6,12.2,1888,Toronto
30,12,1.38,49.5,32.4,310,20.7,25.7,26.8,1780,Vienna
20,9,1.88,71.7,27.5,390,57.8,22.4,24,1868,Zurich
